Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/22/2019 12:33:51

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

875	53	Nothing	19	1898709	0	1			0		other	0
875	55	Nothing	52	1918187	0	1			0		other	0
875	55	Response	3	1922672	4485	6
875	55	Port Input	4	1922672	4485	6
875	56	Nothing	111	1922715	0	1			0		false_alarm	313
875	56	Response	3	1924047	1332	6
875	56	Port Input	4	1924047	1332	6
875	56	Response	3	1925378	2663	6
875	56	Port Input	4	1925378	2663	6
875	56	Response	3	1926769	4054	6
875	56	Port Input	4	1926769	4054	6
875	56	Response	3	1928378	5663	6
875	56	Port Input	4	1928378	5663	6
875	56	Response	3	1929753	7038	6
875	56	Port Input	4	1929753	7038	6
875	56	Response	3	1931244	8529	6
875	56	Port Input	4	1931244	8529	6
875	56	Response	3	1931405	8690	7
875	56	Port Input	4	1931405	8690	7
875	57	Nothing	19	1956295	0	1			0		other	0
875	58	Nothing	52	1977153	0	1			0		other	0
875	58	Response	2	1977504	351	6
875	58	Port Input	1	1977504	351	6
875	59	Nothing	110	1977540	0	1			0		false_alarm	332
875	59	Response	2	1979316	1776	6
875	59	Port Input	1	1979316	1776	6
875	60	Nothing	19	2011406	0	1			0		other	0
875	60	Response	3	2027815	16409	6
875	60	Port Input	4	2027815	16409	6
875	61	Nothing	19	2043227	0	1			0		other	0
875	62	Nothing	52	2059112	0	1			0		other	0
875	62	Response	2	2062016	2904	6
875	62	Port Input	1	2062016	2904	6
875	63	Nothing	110	2062049	0	1			0		false_alarm	342
875	63	Response	3	2063622	1573	5
875	63	Port Input	4	2063622	1573	5
875	64	Nothing	19	2095551	0	1			0		other	0
875	64	Response	2	2106850	11299	5
875	64	Port Input	1	2106850	11299	5
875	64	Response	3	2108483	12932	6
875	64	Port Input	4	2108483	12932	6
875	65	Nothing	19	2111422	0	1			0		other	0
875	66	Nothing	52	2136676	0	1			0		other	0
875	66	Response	2	2140039	3363	5
875	66	Port Input	1	2140039	3363	5
875	67	Nothing	110	2140072	0	1			0		other	0
875	68	Nothing	19	2173721	0	1			0		other	0
875	68	Response	3	2188146	14425	5
875	68	Port Input	4	2188146	14425	5
875	69	Nothing	19	2189484	0	1			0		other	0
875	70	Nothing	52	2210953	0	1			0		other	0
875	70	Response	3	2213886	2933	5
875	70	Port Input	4	2213886	2933	5
875	70	Response	3	2213890	2937	6
875	70	Port Input	4	2213890	2937	6
875	71	Nothing	111	2213927	0	1			0		false_alarm	364
875	71	Response	3	2215532	1605	6
875	71	Port Input	4	2215532	1605	6
875	71	Response	3	2216805	2878	6
875	71	Port Input	4	2216805	2878	6
875	71	Response	3	2218136	4209	6
875	71	Port Input	4	2218136	4209	6
875	71	Response	3	2219618	5691	6
875	71	Port Input	4	2219618	5691	6
875	71	Response	3	2221185	7258	6
875	71	Port Input	4	2221185	7258	6
875	72	Nothing	19	2247647	0	1			0		other	0
875	72	Response	3	2282378	34731	6
875	72	Port Input	4	2282378	34731	6
875	73	Nothing	19	2296415	0	1			0		other	0
875	75	Nothing	52	2322522	0	1			0		other	0
875	75	Response	3	2325242	2720	6
875	75	Port Input	4	2325242	2720	6
875	76	Nothing	111	2325284	0	1			0		false_alarm	382
875	76	Response	3	2326623	1339	5
875	76	Port Input	4	2326623	1339	5
875	76	Response	3	2328045	2761	6
875	76	Port Input	4	2328045	2761	6
875	76	Response	3	2329260	3976	9
875	76	Port Input	4	2329260	3976	9
875	76	Response	3	2330889	5605	6
875	76	Port Input	4	2330889	5605	6
875	76	Response	3	2332590	7306	5
875	76	Port Input	4	2332590	7306	5
875	76	Response	3	2334062	8778	6
875	76	Port Input	4	2334062	8778	6
875	77	Nothing	19	2358782	0	1			0		other	0
875	78	Nothing	52	2393268	0	1			0		other	0
875	78	Response	2	2394771	1503	6
875	78	Port Input	1	2394771	1503	6
875	79	Nothing	110	2394808	0	1			0		false_alarm	399
875	79	Response	2	2396631	1823	6
875	79	Port Input	1	2396631	1823	6
875	80	Nothing	19	2428305	0	1			0		other	0
875	81	Nothing	51	2447096	0	1			0		other	0
875	81	Response	2	2451924	4828	5
875	81	Port Input	1	2451924	4828	5
875	82	Nothing	100	2451962	0	1			0		false_alarm	406
875	82	Response	2	2453202	1240	6
875	82	Port Input	1	2453202	1240	6
875	82	Response	2	2455612	3650	6
875	82	Port Input	1	2455612	3650	6
875	82	Response	2	2456953	4991	6
875	82	Port Input	1	2456953	4991	6
875	82	Response	2	2458322	6360	6
875	82	Port Input	1	2458322	6360	6
875	82	Response	2	2459866	7904	4
875	82	Port Input	1	2459866	7904	4
875	83	Nothing	19	2485583	0	1			0		other	0
875	83	Response	2	2513826	28243	6
875	83	Port Input	1	2513826	28243	6
875	84	Nothing	19	2528516	0	1			0		other	0
875	85	Nothing	52	2544584	0	1			0		other	0
875	85	Response	2	2547740	3156	6
875	85	Port Input	1	2547740	3156	6
875	86	Nothing	110	2547774	0	1			0		false_alarm	424
875	86	Response	2	2548947	1173	6
875	86	Port Input	1	2548947	1173	6
875	87	Nothing	19	2581265	0	1			0		other	0
875	87	Response	3	2601063	19798	6
875	87	Port Input	4	2601063	19798	6
875	88	Nothing	19	2610920	0	1			0		other	0
875	88	Response	3	2633608	22688	6
875	88	Port Input	4	2633608	22688	6
875	89	Nothing	19	2657755	0	1			0		other	0
875	90	Nothing	51	2678681	0	1			0		other	0
875	90	Response	2	2681553	2872	5
875	90	Port Input	1	2681553	2872	5
875	91	Nothing	100	2681594	0	1			0		false_alarm	437
875	91	Response	2	2682970	1376	6
875	91	Port Input	1	2682970	1376	6
875	91	Response	2	2685330	3736	6
875	91	Port Input	1	2685330	3736	6
875	91	Response	2	2686732	5138	6
875	91	Port Input	1	2686732	5138	6
875	91	Response	2	2688174	6580	6
875	91	Port Input	1	2688174	6580	6
875	91	Response	2	2689647	8053	5
875	91	Port Input	1	2689647	8053	5
875	92	Nothing	19	2715137	0	1			0		other	0
875	94	Nothing	52	2750667	0	1			0		other	0
875	94	Response	2	2753317	2650	6
875	94	Port Input	1	2753317	2650	6
875	95	Nothing	110	2753351	0	1			0		other	0
875	96	Nothing	19	2786982	0	1			0		other	0
875	97	Nothing	52	2811203	0	1			0		other	0
875	97	Response	2	2814078	2875	6
875	97	Port Input	1	2814078	2875	6
875	98	Nothing	110	2814112	0	1			0		false_alarm	457
875	98	Response	2	2841954	27842	6
875	98	Port Input	1	2841954	27842	6
875	99	Nothing	19	2847828	0	1			0		other	0
875	100	Nothing	52	2859129	0	1			0		other	0
875	100	Response	3	2863277	4148	9
875	100	Port Input	4	2863277	4148	9
875	101	Nothing	111	2863320	0	1			0		false_alarm	464
875	101	Response	3	2864604	1284	5
875	101	Port Input	4	2864604	1284	5
875	101	Response	3	2866004	2684	6
875	101	Port Input	4	2866004	2684	6
875	101	Response	3	2867539	4219	6
875	101	Port Input	4	2867539	4219	6
875	101	Response	3	2868537	5217	4
875	101	Port Input	4	2868537	5217	4
875	101	Response	3	2870159	6839	6
875	101	Port Input	4	2870159	6839	6
875	101	Response	3	2871727	8407	21
875	101	Port Input	4	2871727	8407	21
875	101	Response	3	2893243	29923	6
875	101	Port Input	4	2893243	29923	6
875	101	Response	3	2894698	31378	6
875	101	Port Input	4	2894698	31378	6
875	102	Nothing	19	2897004	0	1			0		other	0
875	103	Nothing	52	2908136	0	1			0		other	0
875	103	Response	3	2913169	5033	5
875	103	Port Input	4	2913169	5033	5
875	104	Nothing	111	2913208	0	1			0		false_alarm	485
875	104	Response	3	2914539	1331	6
875	104	Port Input	4	2914539	1331	6
875	104	Response	3	2915909	2701	6
875	104	Port Input	4	2915909	2701	6
875	104	Response	3	2917350	4142	8
875	104	Port Input	4	2917350	4142	8
875	104	Response	3	2918928	5720	4
875	104	Port Input	4	2918928	5720	4
875	104	Response	3	2919134	5926	6
875	104	Port Input	4	2919134	5926	6
875	104	Response	3	2920579	7371	5
875	104	Port Input	4	2920579	7371	5
875	105	Nothing	19	2946850	0	1			0		other	0
875	106	Nothing	52	2960325	0	1			0		other	0
875	106	Response	3	2963068	2743	6
875	106	Port Input	4	2963068	2743	6
875	107	Nothing	111	2963108	0	1			0		false_alarm	502
875	107	Response	3	2964385	1277	7
875	107	Port Input	4	2964385	1277	7
875	107	Response	3	2965864	2756	6
875	107	Port Input	4	2965864	2756	6
875	107	Response	3	2967231	4123	6
875	107	Port Input	4	2967231	4123	6
875	107	Response	3	2968799	5691	6
875	107	Port Input	4	2968799	5691	6
875	107	Response	3	2970341	7233	6
875	107	Port Input	4	2970341	7233	6
875	107	Response	3	2971877	8769	8
875	107	Port Input	4	2971877	8769	8
875	107	Response	3	2975591	12483	5
875	107	Port Input	4	2975591	12483	5
875	107	Response	3	2977177	14069	8
875	107	Port Input	4	2977177	14069	8
875	108	Nothing	19	2996626	0	1			0		other	0
875	110	Nothing	52	3014887	0	1			0		other	0
875	110	Response	3	3017504	2617	6
875	110	Port Input	4	3017504	2617	6
875	111	Nothing	111	3017544	0	1			0		false_alarm	523
875	111	Response	3	3018991	1447	6
875	111	Port Input	4	3018991	1447	6
875	111	Response	3	3020377	2833	6
875	111	Port Input	4	3020377	2833	6
875	111	Response	3	3021710	4166	6
875	111	Port Input	4	3021710	4166	6
875	111	Response	3	3023150	5606	6
875	111	Port Input	4	3023150	5606	6
875	111	Response	3	3024790	7246	6
875	111	Port Input	4	3024790	7246	6
875	111	Response	3	3026211	8667	6
875	111	Port Input	4	3026211	8667	6
875	111	Response	3	3027930	10386	6
875	111	Port Input	4	3027930	10386	6
875	112	Nothing	19	3051052	0	1			0		other	0
875	113	Nothing	51	3074740	0	1			0		other	0
875	113	Response	2	3077442	2702	5
875	113	Port Input	1	3077442	2702	5
875	114	Nothing	100	3077481	0	1			0		false_alarm	542
875	114	Response	2	3078839	1358	6
875	114	Port Input	1	3078839	1358	6
875	114	Response	2	3080214	2733	5
875	114	Port Input	1	3080214	2733	5
875	114	Response	2	3081589	4108	6
875	114	Port Input	1	3081589	4108	6
875	114	Response	2	3083063	5582	6
875	114	Port Input	1	3083063	5582	6
875	114	Response	2	3084548	7067	6
875	114	Port Input	1	3084548	7067	6
875	115	Nothing	19	3111186	0	1			0		other	0
875	115	Response	2	3137802	26616	6
875	115	Port Input	1	3137802	26616	6
875	116	Nothing	19	3156687	0	1			0		other	0
875	116	Response	2	3170003	13316	6
875	116	Port Input	1	3170003	13316	6
875	117	Nothing	19	3170836	0	1			0		other	0
875	118	Nothing	51	3182221	0	1			0		other	0
875	118	Response	2	3185104	2883	6
875	118	Port Input	1	3185104	2883	6
875	119	Nothing	100	3185144	0	1			0		false_alarm	563
875	119	Response	2	3186493	1349	6
875	119	Port Input	1	3186493	1349	6
875	119	Response	2	3187948	2804	4
875	119	Port Input	1	3187948	2804	4
875	119	Response	2	3189278	4134	6
875	119	Port Input	1	3189278	4134	6
875	119	Response	2	3190753	5609	4
875	119	Port Input	1	3190753	5609	4
875	119	Response	2	3192251	7107	5
875	119	Port Input	1	3192251	7107	5
875	120	Nothing	19	3218632	0	1			0		other	0
875	120	Response	2	3246686	28054	34
875	120	Port Input	1	3246686	28054	34
875	121	Nothing	19	3249659	0	1			0		other	0
875	122	Nothing	52	3296214	0	1			0		other	0
875	122	Response	3	3299019	2805	5
875	122	Port Input	4	3299019	2805	5
875	123	Nothing	111	3299058	0	1			0		false_alarm	581
875	123	Response	3	3300333	1275	6
875	123	Port Input	4	3300333	1275	6
875	123	Response	3	3301848	2790	5
875	123	Port Input	4	3301848	2790	5
875	123	Response	3	3302978	3920	5
875	123	Port Input	4	3302978	3920	5
875	123	Response	3	3304532	5474	6
875	123	Port Input	4	3304532	5474	6
875	123	Response	3	3306006	6948	6
875	123	Port Input	4	3306006	6948	6
875	123	Response	3	3307307	8249	6
875	123	Port Input	4	3307307	8249	6
875	123	Response	3	3308903	9845	6
875	123	Port Input	4	3308903	9845	6
875	123	Response	3	3310163	11105	6
875	123	Port Input	4	3310163	11105	6
875	124	Nothing	19	3332724	0	1			0		other	0
875	125	Nothing	51	3355104	0	1			0		other	0
875	125	Response	3	3357620	2516	6
875	125	Port Input	4	3357620	2516	6
875	126	Nothing	101	3357657	0	1			0		false_alarm	602
875	126	Response	3	3359322	1665	6
875	126	Port Input	4	3359322	1665	6
875	126	Response	3	3360887	3230	6
875	126	Port Input	4	3360887	3230	6
875	127	Nothing	19	3391159	0	1			0		other	0
875	127	Response	2	3419725	28566	6
875	127	Port Input	1	3419725	28566	6
