scorer,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right,Center,Center,Center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
28,172.28623962402344,75.70420837402344,1.0,172.0240020751953,127.15265655517578,1.0,149.00625610351562,102.96056365966797,1.0,192.56434631347656,103.46190643310547,1.0,170.1165008544922,101.7260971069336,1.0
29,171.21282958984375,75.38311767578125,1.0,169.4119415283203,127.50463104248047,1.0,146.87623596191406,102.68994903564453,1.0,191.0909881591797,103.4597396850586,1.0,169.0363311767578,101.69690704345703,1.0
30,169.2046356201172,75.06916046142578,1.0,168.52902221679688,127.54655456542969,1.0,146.123291015625,102.9339370727539,1.0,187.99497985839844,103.17240905761719,1.0,167.9481964111328,101.63523864746094,1.0
31,170.62208557128906,75.58573913574219,1.0,169.73902893066406,127.2196273803711,1.0,147.4326629638672,103.13389587402344,1.0,189.38668823242188,103.53914642333984,1.0,169.16836547851562,101.76986694335938,1.0
32,170.3236083984375,75.96326446533203,1.0,169.1100311279297,128.47549438476562,1.0,146.49533081054688,103.85685729980469,1.0,190.09762573242188,104.40120697021484,1.0,168.38038635253906,102.51112365722656,1.0
33,170.5535125732422,74.11249542236328,1.0,169.7329864501953,126.38725280761719,1.0,147.96823120117188,102.00563049316406,1.0,189.2111358642578,101.54817199707031,1.0,168.85609436035156,100.48710632324219,1.0
34,170.65322875976562,75.73062133789062,1.0,169.8334197998047,127.50749206542969,1.0,147.77618408203125,103.08618927001953,1.0,190.70216369628906,103.65396881103516,1.0,169.1936798095703,101.82881927490234,1.0
35,170.59014892578125,75.8958740234375,1.0,169.193115234375,127.79815673828125,1.0,147.3591766357422,103.0721435546875,1.0,190.67288208007812,103.75102233886719,1.0,169.0791015625,101.93366241455078,1.0
36,169.65731811523438,74.97744750976562,1.0,168.8817596435547,127.43004608154297,1.0,146.6592254638672,102.62162780761719,1.0,188.5779266357422,103.51356506347656,1.0,168.57049560546875,101.55489349365234,1.0
37,172.2035369873047,75.82713317871094,1.0,171.13677978515625,127.48158264160156,1.0,148.60491943359375,103.03748321533203,1.0,192.1891326904297,103.45785522460938,1.0,170.21270751953125,102.0509033203125,1.0
38,171.05422973632812,75.71649932861328,1.0,169.77389526367188,128.482421875,1.0,147.03704833984375,103.59729766845703,1.0,191.38536071777344,104.10497283935547,1.0,169.15951538085938,102.46017456054688,1.0
39,171.88314819335938,76.58949279785156,1.0,170.3597869873047,129.26087951660156,1.0,147.38699340820312,103.90829467773438,1.0,192.12998962402344,105.01829528808594,1.0,169.66390991210938,103.81424713134766,1.0
40,171.1249542236328,74.92049407958984,1.0,170.13070678710938,127.82853698730469,1.0,147.64048767089844,102.66325378417969,1.0,191.9126434326172,103.19438934326172,1.0,169.62510681152344,101.65184020996094,1.0
41,170.48878479003906,75.26538848876953,1.0,169.1317596435547,128.00469970703125,1.0,146.23731994628906,103.15052032470703,1.0,191.24887084960938,103.55451965332031,1.0,168.69100952148438,101.91804504394531,1.0
42,171.91433715820312,76.05119323730469,1.0,170.12167358398438,129.18470764160156,1.0,146.90150451660156,104.14191436767578,1.0,192.1504669189453,104.73162078857422,1.0,169.2530975341797,103.58904266357422,1.0
43,172.4781951904297,77.43406677246094,1.0,170.7002410888672,130.78221130371094,1.0,147.26553344726562,104.8572769165039,1.0,192.6465606689453,105.05171966552734,1.0,169.98825073242188,105.02021026611328,1.0
44,171.4892120361328,74.54569244384766,1.0,170.2356414794922,128.3409423828125,1.0,147.0808868408203,102.67972564697266,1.0,191.34158325195312,102.95481872558594,1.0,169.56483459472656,101.6158218383789,1.0
45,170.86529541015625,75.79804992675781,1.0,169.3927001953125,129.16905212402344,1.0,146.26272583007812,104.12832641601562,1.0,191.45932006835938,104.65885925292969,1.0,168.64373779296875,102.80987548828125,1.0
46,171.12586975097656,76.29351806640625,1.0,169.78842163085938,129.80291748046875,1.0,146.7633514404297,104.24816131591797,1.0,191.4317626953125,105.29023742675781,1.0,168.92042541503906,104.12857818603516,1.0
47,169.69554138183594,75.29973602294922,1.0,168.78269958496094,128.2798614501953,1.0,145.88336181640625,103.35868835449219,1.0,190.240966796875,103.99259948730469,1.0,168.28038024902344,102.11563873291016,1.0
48,172.15699768066406,77.48207092285156,1.0,170.6736297607422,129.5635986328125,1.0,147.74655151367188,104.90330505371094,1.0,191.73748779296875,104.56424713134766,1.0,169.7342987060547,104.69403839111328,1.0
49,171.5646209716797,77.21333312988281,1.0,169.68609619140625,130.0336151123047,1.0,146.6265106201172,104.81221008300781,1.0,191.70140075683594,105.74764251708984,1.0,169.1374969482422,104.61659240722656,1.0
50,171.49440002441406,77.22867584228516,1.0,169.4196319580078,130.63888549804688,1.0,146.18104553222656,105.20195007324219,1.0,191.66172790527344,106.43362426757812,1.0,168.5855255126953,105.2490463256836,1.0
51,172.77174377441406,76.27459716796875,1.0,170.6602783203125,129.6576690673828,1.0,147.48666381835938,104.05743408203125,1.0,192.228759765625,103.97303771972656,1.0,170.21624755859375,103.7994384765625,1.0
52,171.2870330810547,74.99298858642578,1.0,169.98056030273438,128.3938446044922,1.0,146.3822479248047,103.29147338867188,1.0,192.7327423095703,103.88557434082031,1.0,169.531982421875,102.17778015136719,1.0
53,172.22598266601562,76.4116439819336,1.0,170.26467895507812,129.940673828125,1.0,146.52159118652344,104.3581314086914,1.0,192.5253143310547,104.14485931396484,1.0,169.90310668945312,104.22945404052734,1.0
54,172.89048767089844,76.98251342773438,1.0,169.6442413330078,131.4918670654297,1.0,147.37396240234375,104.58570098876953,1.0,193.60983276367188,104.52398681640625,1.0,170.60525512695312,104.47190856933594,1.0
55,173.04579162597656,77.38526916503906,1.0,169.3026885986328,133.01327514648438,1.0,146.83404541015625,105.48634338378906,1.0,193.29833984375,105.5316390991211,1.0,170.32484436035156,105.67411804199219,1.0
56,172.4506072998047,76.615478515625,1.0,168.78802490234375,131.7904052734375,1.0,146.8561248779297,105.00777435302734,1.0,193.14602661132812,104.84770965576172,1.0,170.1145782470703,104.74547576904297,1.0
57,171.74899291992188,76.35953521728516,1.0,170.29396057128906,129.7941131591797,1.0,146.56451416015625,104.68358612060547,1.0,192.75991821289062,105.28025817871094,1.0,169.72457885742188,104.21070098876953,1.0
58,170.0664520263672,75.72937774658203,1.0,168.51197814941406,129.03082275390625,1.0,145.59326171875,103.64189147949219,1.0,191.94708251953125,104.74778747558594,1.0,168.67819213867188,103.01762390136719,1.0
59,171.58682250976562,77.01636505126953,1.0,169.9711151123047,130.3154296875,1.0,146.78897094726562,104.88275909423828,1.0,191.97926330566406,106.10425567626953,1.0,169.07476806640625,105.01544189453125,1.0
60,169.83206176757812,78.77777099609375,1.0,169.23037719726562,130.615966796875,1.0,146.26669311523438,105.4766616821289,1.0,191.53317260742188,106.66979217529297,1.0,168.4593505859375,105.40880584716797,1.0
61,168.88967895507812,76.45450592041016,1.0,168.02188110351562,129.86236572265625,1.0,144.85704040527344,104.5309066772461,1.0,188.95550537109375,106.34832763671875,1.0,166.9235076904297,104.74446105957031,1.0
62,169.39013671875,76.21248626708984,1.0,168.25782775878906,129.3229217529297,1.0,145.41268920898438,104.28079223632812,1.0,189.42567443847656,105.72087860107422,1.0,167.24578857421875,104.4400634765625,1.0
63,170.99156188964844,78.7850570678711,1.0,170.26885986328125,129.52297973632812,1.0,147.14854431152344,104.67350769042969,1.0,192.57676696777344,105.79463195800781,1.0,169.82301330566406,104.33434295654297,1.0
64,170.03675842285156,78.52940368652344,1.0,169.3716583251953,130.2139434814453,1.0,146.36227416992188,105.16989135742188,1.0,191.48739624023438,106.2761001586914,1.0,168.87779235839844,105.3328628540039,1.0
65,170.5394744873047,75.98987579345703,1.0,169.2659912109375,129.65953063964844,1.0,146.0670928955078,103.3670654296875,1.0,191.18954467773438,105.19135284423828,1.0,168.5113525390625,103.62310028076172,1.0
66,172.593505859375,76.80517578125,1.0,171.4766387939453,130.28646850585938,1.0,147.84164428710938,104.25963592529297,1.0,192.730712890625,104.192626953125,1.0,170.26268005371094,104.43501281738281,1.0
67,172.9871063232422,77.47390747070312,1.0,169.47923278808594,132.24432373046875,1.0,146.9313507080078,105.2608642578125,1.0,193.10159301757812,105.33033752441406,1.0,170.38876342773438,105.38482666015625,1.0
68,173.04478454589844,77.02457427978516,1.0,169.4314727783203,131.9487762451172,1.0,147.10289001464844,104.69822692871094,1.0,193.50099182128906,105.27852630615234,1.0,170.67483520507812,104.94886779785156,1.0
69,172.97695922851562,76.33818817138672,1.0,169.50341796875,131.67247009277344,1.0,147.0011444091797,104.43920135498047,1.0,193.61996459960938,104.43026733398438,1.0,170.70703125,104.37071990966797,1.0
70,171.0835418701172,75.39887237548828,1.0,170.43141174316406,129.92745971679688,1.0,146.04501342773438,104.06360626220703,1.0,192.7115936279297,103.14407348632812,1.0,169.63143920898438,103.65992736816406,1.0
71,172.20599365234375,76.68677520751953,1.0,168.44659423828125,133.25015258789062,1.0,145.8852996826172,105.58960723876953,1.0,192.6425323486328,105.30905151367188,1.0,169.27505493164062,105.66578674316406,1.0
72,173.4676971435547,77.55615234375,1.0,170.01498413085938,133.73269653320312,1.0,147.05569458007812,105.78578186035156,1.0,194.03604125976562,105.75234985351562,1.0,170.56263732910156,105.97968292236328,1.0
73,172.6410369873047,77.22513580322266,1.0,168.51211547851562,133.5595245361328,1.0,146.05433654785156,105.53168487548828,1.0,192.83949279785156,105.69633483886719,1.0,169.73973083496094,105.7801513671875,1.0
74,171.8603973388672,76.95829010009766,1.0,168.2073974609375,132.7246551513672,1.0,145.83151245117188,105.25814056396484,1.0,192.44894409179688,105.35623931884766,1.0,169.2202911376953,105.36361694335938,1.0
75,172.21340942382812,77.261962890625,1.0,168.68911743164062,132.82452392578125,1.0,146.39797973632812,105.3838119506836,1.0,192.69866943359375,105.61729431152344,1.0,169.64552307128906,105.50981140136719,1.0
76,171.195556640625,75.4228286743164,1.0,170.1883087158203,129.44342041015625,1.0,146.259765625,103.83488464355469,1.0,192.8124237060547,103.68641662597656,1.0,169.0740966796875,103.19709777832031,1.0
77,172.70481872558594,77.61920166015625,1.0,169.17979431152344,131.8585205078125,1.0,147.38999938964844,105.45149230957031,1.0,192.86953735351562,105.22862243652344,1.0,170.26795959472656,105.58283233642578,1.0
78,179.5123291015625,80.15554809570312,1.0,180.90977478027344,134.7628936767578,1.0,155.66415405273438,107.7234115600586,1.0,203.33006286621094,110.3938980102539,1.0,181.58555603027344,106.83210754394531,1.0
79,175.65687561035156,78.4019775390625,1.0,174.73291015625,133.2576904296875,1.0,151.74952697753906,105.3571548461914,1.0,198.18917846679688,106.50312042236328,1.0,176.41061401367188,104.73922729492188,1.0
